,Geographic Area Name,Population
96,Middleton,9872
3,Brewster,9837
176,Ware,9801
153,Southwick,9720
344,Sturbridge,9539
223,Townsend,9473
345,Sutton,9444
105,Salisbury,9360
57,Freetown,9299
302,Blackstone,9263
254,Plainville,9183
308,Douglas,8859
149,Monson,8779
83,Georgetown,8695
338,Rutland,8685
241,Cohasset,8484
80,Boxford,8282
126,Montague,8279
249,Millis,8233
346,Templeton,8130
16,Adams,8125
184,Ayer,8106
343,Sterling,8091
319,Lancaster,8044
86,Hamilton,8031
352,West Boylston,7966
347,Upton,7894
271,Halifax,7842
354,Westminster,7766
53,Dighton,7730
129,Orange,7644
217,Shirley,7633
46,Williamstown,7514
102,Rockport,7231
290,West Bridgewater,7198
220,Stow,7133
98,Newbury,7060
24,Great Barrington,6901
94,Merrimac,6890
203,Lincoln,6830
85,Groveland,6780
51,Berkley,6730
21,Dalton,6610
315,Harvard,6569
108,Topsfield,6568
103,Rowley,6372
280,Mattapoisett,6336
166,Granby,6322
297,Ashburnham,6281
174,Southampton,6144
323,Mendon,6115
243,Dover,6044
4,Chatham,6019
317,Hopedale,5947
10,Orleans,5808
28,Lee,5742
286,Rochester,5580
188,Boxborough,5561
300,Barre,5539
92,Manchester-by-the-Sea,5383
167,Hadley,5319
303,Bolton,5299
109,Wenham,5240
191,Carlisle,5224
349,Warren,5213
144,Hampden,5178
278,Marion,5132
117,Deerfield,5017
29,Lenox,4963
6,Eastham,4901
333,Paxton,4900
330,North Brookfield,4774
318,Hubbardston,4708
73,Oak Bluffs,4665
110,West Newbury,4631
304,Boylston,4623
236,Avon,4500
71,Edgartown,4320
216,Sherborn,4316
74,Tisbury,4107
82,Essex,3745
353,West Brookfield,3728
139,Brimfield,3658
133,Sunderland,3647
14,Wellfleet,3617
97,Nahant,3502
336,Princeton,3455
305,Brookfield,3441
195,Dunstable,3366
168,Hatfield,3274
326,Millville,3256
182,Ashby,3220
301,Berlin,3182
41,Sheffield,3160
19,Cheshire,3159
314,Hardwick,3048
128,Northfield,2981
27,Lanesborough,2973
11,Provincetown,2973
285,Plympton,2954
145,Holland,2630
178,Williamsburg,2576
75,West Tisbury,2418
156,Wales,2088
112,Bernardston,2064
169,Huntington,2058
310,East Brookfield,2040
123,Leverett,2001
116,Conway,1968
113,Buckland,1950
18,Becket,1941
177,Westhampton,1858
26,Hinsdale,1837
331,Oakham,1833
42,Stockbridge,1795
335,Phillipston,1784
20,Clarksburg,1777
115,Colrain,1771
132,Shutesbury,1755
118,Erving,1740
143,Granville,1691
131,Shelburne,1649
119,Gill,1596
136,Whately,1584
33,New Marlborough,1544
38,Richmond,1489
140,Chester,1470
152,Russell,1470
111,Ashfield,1449
22,Egremont,1402
35,Otis,1393
337,Royalston,1366
179,Worthington,1338
172,Pelham,1283
162,Chesterfield,1234
70,Chilmark,1222
327,New Braintree,1211
334,Petersham,1188
13,Truro,1122
138,Blandford,1105
114,Charlemont,1086
45,West Stockbridge,1084
127,New Salem,1009
